state,key,svn,english,translation
NEW,hud_tooltip_leftclickboxplace,3708,[SHIFT + LMB Drag] Box place,
NEW,hud_tooltip_leftclickboxdismantle,3708,[SHIFT + LMB Drag] Box dismantle,
NEW,hud_tooltip_rightclickboxdelete,3708,[SHIFT + RMB Drag] Box delete,
NEW,hud_tooltip_drone_filterwarning,3708,WARNING: This type is excluded in the ship-wide gather filter.,
NEW,hud_tooltip_drone_permitlaunch,3708,"Allow drones to launch from this drone bay. \n\nIf disabled, will prevent drones from being loaded.",
NEW,hud_tooltip_drone_permitreturn,3708,"Allow drones to return to this drone bay. \n\nIf disabled, will allow drones to drop items off but not dock at this bay.",
NEW,hud_tooltip_drone_selecttype,3708,The types that can be dropped off.,
NEW,hud_tooltip_robotarm_selecttype,3708,The types that can be picked up.,
NEW,brokenconstraint_none,3708,INVALID PLACEMENT,
NEW,brokenconstraint_interior,3708,NOT ENOUGH INTERIOR SPACE,
NEW,brokenconstraint_exterior,3708,NOT ENOUGH EXTERIOR SPACE,
NEW,brokenconstraint_wall,3708,REQUIRES WALL,
NEW,brokenconstraint_nowall,3708,OBSTRUCTED BY A WALL,
NEW,brokenconstraint_unobstructed,3708,AREA NOT CLEAR,
NEW,brokenconstraint_wallscaffold,3708,REQUIRES WALL OR SCAFFOLDING,
NEW,brokenconstraint_unobstructedontop,3708,TOP OF SHIP NOT CLEAR,
NEW,brokenconstraint_habitationontop,3708,NO HABITATION ABOVE,
NEW,hud_installqueue_inproduction,3708,QUEUED FOR PRODUCTION,
NEW,hud_installqueue_waitingforbox,3708,NONE AVAILABLE,
NEW,hud_workqueue_waitingforcrew,3708,WAITING FOR CREW,
NEW,hud_workqueue_installinprogress,3708,INSTALL IN PROGRESS,
NEW,equipment_factory_idle,3708,IDLE,
NEW,equipment_robotarm_numtypes,3708,*X types,
NEW,equipment_storagecrate_capacity_mixed,3708,CAPACITY: MIXED,
NEW,equipment_storagecrate_refill_mixed,3708,MIXED PRIORITIES,
NEW,equipment_dronebay_permitlaunch,3708,PERMIT LAUNCH,
NEW,equipment_dronebay_permitreturn,3708,PERMIT RETURN,
NEW,equipment_multiple_recipes,3708,MULTIPLE RECIPES,
NEW,equipment_multiple_fluids,3708,MULTIPLE FLUIDS,
NEW,equipment_multiple_types,3708,MULTIPLE TYPES,
NEW,equipment_multiple_names,3708,MULTIPLE NAMES,
NEW,equipment_typefilter_none,3708,SELECT PERMITTED,
NEW,equipment_typefilter_multiple,3708,MULTIPLE PERMITTED,
NEW,equipment_typefilter_all,3708,ALL PERMITTED,
NEW,equipment_typefilter_extras,3708,AND *X MORE,
NEW,equipment_typefilter_invert,3708,ALL PERMITTED EXCEPT:,
NEW,equipment_on,3708,ON,
NEW,equipment_off,3708,OFF,
NEW,equipment_on_amount,3708,ON(*X),
NEW,equipment_off_amount,3708,OFF(*X),
NEW,equipment_on_off_amount,3708,ON(*X) OFF(*Y),
NEW,equipment_selectall,3708,SELECT ALL,
